Season,TeamName,BoxscoreIndex
2020,Abilene Christian,2019-11-05-20-abilene-christian
2020,Abilene Christian,2019-11-10-14-drexel
2020,Abilene Christian,2019-11-16-20-abilene-christian
2020,Abilene Christian,2019-11-18-22-nevada-las-vegas
2020,Abilene Christian,2019-11-21-12-abilene-christian
2020,Abilene Christian,2019-11-25-20-texas-state
2020,Abilene Christian,2019-11-29-20-southern-methodist
2020,Abilene Christian,2019-12-05-20-abilene-christian
2020,Abilene Christian,2019-12-07-20-abilene-christian
2020,Abilene Christian,2019-12-12-19-abilene-christian
2020,Abilene Christian,2019-12-18-20-new-orleans
2020,Abilene Christian,2019-12-21-20-abilene-christian
2020,Abilene Christian,2019-12-29-15-wichita-state
2020,Abilene Christian,2020-01-04-15-lamar
2020,Abilene Christian,2020-01-08-20-abilene-christian
2020,Abilene Christian,2020-01-11-16-abilene-christian
2020,Abilene Christian,2020-01-18-20-abilene-christian
2020,Abilene Christian,2020-01-22-20-sam-houston-state
2020,Abilene Christian,2020-01-25-16-central-arkansas
2020,Abilene Christian,2020-01-29-20-stephen-f-austin
2020,Abilene Christian,2020-02-01-20-abilene-christian
2020,Abilene Christian,2020-02-05-19-northwestern-state
2020,Abilene Christian,2020-02-08-20-abilene-christian
2020,Abilene Christian,2020-02-12-20-abilene-christian
2020,Abilene Christian,2020-02-15-16-texas-am-corpus-christi
2020,Abilene Christian,2020-02-19-20-houston-baptist
2020,Abilene Christian,2020-02-22-17-southeastern-louisiana
2020,Abilene Christian,2020-02-26-20-abilene-christian
2020,Abilene Christian,2020-02-29-16-abilene-christian
2020,Abilene Christian,2020-03-03-20-abilene-christian
2020,Abilene Christian,2020-03-07-17-incarnate-word
2020,Air Force,2019-11-07-21-air-force
2020,Air Force,2019-11-09-16-air-force
2020,Air Force,2019-11-12-19-army
2020,Air Force,2019-11-18-21-texas-christian
2020,Air Force,2019-11-21-16-loyola-marymount
2020,Air Force,2019-11-22-18-air-force
2020,Air Force,2019-11-24-16-indiana-state
2020,Air Force,2019-12-01-16-air-force
2020,Air Force,2019-12-04-21-wyoming
2020,Air Force,2019-12-07-14-air-force
2020,Air Force,2019-12-14-15-denver
2020,Air Force,2019-12-17-21-air-force
2020,Air Force,2019-12-21-14-air-force
2020,Air Force,2019-12-31-16-air-force
2020,Air Force,2020-01-04-22-nevada-las-vegas
2020,Air Force,2020-01-07-23-air-force
2020,Air Force,2020-01-11-18-new-mexico
2020,Air Force,2020-01-15-21-air-force
2020,Air Force,2020-01-18-16-air-force
2020,Air Force,2020-01-21-23-utah-state
2020,Air Force,2020-01-25-17-san-jose-state
2020,Air Force,2020-01-28-21-air-force
2020,Air Force,2020-02-04-23-nevada
2020,Air Force,2020-02-08-20-air-force
2020,Air Force,2020-02-11-21-boise-state
2020,Air Force,2020-02-15-14-air-force
2020,Air Force,2020-02-19-22-fresno-state
2020,Air Force,2020-02-22-16-air-force
2020,Air Force,2020-02-26-21-air-force
2020,Air Force,2020-02-29-16-colorado-state
2020,Air Force,2020-03-04-15-fresno-state
2020,Air Force,2020-03-05-14-san-diego-state
2020,Akron,2019-11-05-19-akron
2020,Akron,2019-11-08-19-west-virginia
2020,Akron,2019-11-15-19-akron
2020,Akron,2019-11-18-19-akron
2020,Akron,2019-11-21-19-akron
2020,Akron,2019-11-24-18-louisville
2020,Akron,2019-11-29-19-akron
2020,Akron,2019-12-04-19-marshall
2020,Akron,2019-12-08-14-akron
2020,Akron,2019-12-15-14-akron
2020,Akron,2019-12-20-14-tulane
2020,Akron,2019-12-21-15-liberty
2020,Akron,2019-12-30-19-akron
2020,Akron,2020-01-04-12-eastern-michigan
2020,Akron,2020-01-07-19-akron
2020,Akron,2020-01-10-21-akron
2020,Akron,2020-01-14-20-northern-illinois
2020,Akron,2020-01-18-14-akron
2020,Akron,2020-01-21-19-miami-oh
2020,Akron,2020-01-25-15-ohio
2020,Akron,2020-01-28-19-akron
2020,Akron,2020-01-31-18-kent-state
